รับ อะไร;ráp a-rai;តើ​អ្នក​ចង់​បាន​អ្វី​?
เอา ... ไหม ;ao ... măi;តើ​អ្នក​ចង់​បាន ... ?
ค่ะ/ครับ ขอบคุณ ค่ะ/ครับ ;kâ/kráp kòp-kun kâ/kráp;បាទ​សូម​។
มี ;mee ;មាន ...
จะ เกิด ขึ้น เมื่อไร;jà gèrt kêun mêua-rai;នៅ​ពេល​ដែល​វា​នឹង​កើត​ឡើង​?
จะ มา เมื่อไร;jà maa mêua-rai;នៅ​ពេល​ដែល​វា​នឹង​មកដល់​?
เมื่อไหร่ [subj] จะ [verb/adj];mêua-rài [subj] ja [verb/adj];ពេល​ដែល​វា​នឹង ...
มี หมอ ;mee mo;(ខ្ញុំ​) មាន​គ្រូពេទ្យ​។
มี ... ไหม ;mee ... măi;តើ​អ្នក​មាន ... ?
มี หมอ ไหม ;mee mŏr măi;តើ​អ្នក​មាន​គ្រូពេទ្យ​ទេ​?
ไม่มี หมอ ;mâi-mee mŏr;ខ្ញុំ​មិន​មាន​គ្រូពេទ្យ​។
ใช่, ครับ, ค่ะ ;châi, kráp, kâ;បាទ
ไม่ใช่ ;mâi-châi;គ្មាន
ได้ ;dâai;(ខ្ញុំ​) អាច​ធ្វើ​បាន
ไม่ได้;mâi-dâai;មិន​អាច (ខ្ញុំ​)
ขอโทษ นะคะ/นะครับ ;kŏr-tôht ná-kâ/ná-kráp;ខ្ញុំ​សូមទោស​។
ขอโทษ ;kŏr-tôht;ខ្ញុំ​ពិត​ជា​សោក​ស្តា​យ​។
พูด ไทย นิดหน่อย ;pôot tai nít-nòi;ខ្ញុំ​និយាយ​ថៃ​តែ​ប៉ុណ្ណោះ​បន្តិច​។
พูด ช้าช้า หน่อย ;pôot cháa-cháa nòi;សូម​និយាយ​យឺត​។
ช้าช้า หน่อย ;cháa-cháa nòi;សូម​និយាយ​យឺត​។
ช้าช้า;cháa-cháa;សូម​និយាយ​យឺត​។
ไม่ เข้าใจ ;mâi kâo-jai;ខ្ញុំ​មិន​យល់​ទេ​។
เข้าใจ ;kâo-jai;ខ្ញុំ​យល់​។
ช่วย เขียน หน่อย ค่ะ/ครับ;chûay kĭan nòi kâ/kráp;ជំនួយ​សរសេរ (វា​សម្រាប់​ខ្ញុំ​) សូម​។
ไทย พูด ยังไง ;tai pôot yang-ngai;តើ​អ្នក​អាច​និយាយ​បាន​ថា​វា​ជា​ភាសា​ថៃ​បាន​យ៉ាង​ដូចម្តេច​?
... พูด ยังไง ;... poot yang-ngai ;តើ​អ្នក​និយាយ​ថា​តើ ... ?
... คือ อะไร ;... keu a-rai ;តើ​អ្វី​ជា​ការ ... ?
นี่ อะไร ;nêe a-rai ;តើ​នេះ​ជា​អ្វី​?
นั่น อะไร ;nân a-rai ;នោះ​គឺ​ជា​អ្វី​ដែល​?
... ไหม;... măi ;វា​គឺ​ជា​ការ ... ?
ถึง เวลา หรือยัง;tĕung way-laa rĕu-yang;វា​គឺ​ជា​ពេល​វេលា​?
พูด อีกที ค่ะ/ครับ;pôot èek-tee kâ/kráp;ធ្វើ​ម្តង​ទៀត​វា​សូម​។
ช่วย ด้วย;chûay dûay;ជំនួយ​!
ยังไง;yang-ngai;តើ​ធ្វើ​ដូចម្តេច​?
v + ยังไง;yang-ngai;(អ្វី​) ដោយ​របៀប​ណា​?
อะไร คะ/ครับ;a-rai ká/kráp;អ្វី​ដែល​?
อะไร คะ/ครับ;a-rai ká/kráp;តើ​មាន​អ្វី​កើត​ឡើង​?
ไม่ มี อะไร;mâi mee a-rai;គ្មាន​អ្វី​ដែល​បាន​កើតឡើង​។
นี่ อะไร;nêe a-rai;តើ​នេះ​ជា​អ្វី​?
นั่น อะไร;nân a-rai;នោះ​គឺ​ជា​អ្វី​ដែល​?
รับ อะไร คะ/ครับ;ráp a-rai ká/kráp;តើ​អ្នក​ចង់​បាន​អ្វី​?
เมื่อไหร่;mêua-rài;នៅពេល​ណា​?
(จะ) มา เมื่อไหร่;(jà) maa mêua-rài;ពេល​ដែល​អ្នក​ត្រូវ​មក​?
เมื่อไหร่ (จะ มา);mêua-rài (jà maa);ពេល​ដែល​អ្នក​ត្រូវ​មក​?
วันนี้;wan-née;(ខ្ញុំ​កំពុង​មក​) ថ្ងៃនេះ
พรุ่งนี้;prûng-née;(ខ្ញុំ​ខាង​មុខ​) នៅ​ថ្ងៃ​ស្អែក
ไป ไหน;bpai năi;តើ​អ្នក​ត្រូវ​ទៅ​?
เป็น(ยัง)ไงบ้าง;bpen (yang) ngai bâang;ជំរាបសួរ​, របៀប​ដែល​អ្នក​ធ្វើ​?
ไป ... ;bpai ... ;(ខ្ញុំ​) នឹង​ទៅ ...
คน นั้น ใคร;kon nán krai;តើ​នរណា​ជា​មនុស្ស​ម្នាក់​នោះ​?
ใคร ทำ;krai tam;តើ​នរណា​ជា​អ្នក​ធ្វើ​វា​? តើ​នរណា​ជា​អ្នក​ធ្វើ​ឱ្យ​វា​?
ใคร คะ/ครับ ;krai ká/kráp;វា​គឺ​ជា​នរណា​?
ทำไม;tam-mai;តើ​ហេតុអ្វី​?
เท่าไหร่ ;tâo-rài;តើ​ធ្វើ​ដូចម្តេច​ច្រើន​, របៀប​ជា​ច្រើន​?
กี่;gèe;តើ​ធ្វើ​ដូចម្តេច​ច្រើន​, របៀប​ជា​ច្រើន​?
กี่ บาท;gèe bàat;តើ​មាន​មនុស្ស​ប៉ុន្មាន​បាត​?
เป็น อะไร;bpen a-rai;បញ្ហា​នេះ​ជា​អ្វី​?
คุณ คิด ยังไง;kun kít yang-ngai;តើ​អ្នក​គិត​យ៉ាងណា​?
คุณ แน่ใจ ไหม;kun nâe-jai măi;តើ​អ្នក​ប្រាកដ​ឬ​?
เป็น ไป ได้ ไหม;bpen bpai dâai măi;វា​គឺ​ជា​ការ​ដែល​អាច​ធ្វើ​បាន​?
ดี ไหม;dee măi;វា​គឺ​ជា​ការ​ល្អ​?
นี่ อะไร;nêe a-rai;តើ​នេះ​ជា​អ្វី​?
จริงๆ เหรอ;jing-jing rĕr;ពិត​ជា​?
ดี;dee;វា​ជា​ការ​ល្អ​។
โอเค;oh-kay;O.K. / ស្តាំ​ទាំងអស់​។
ไม่เป็นไร;mâi-bpen-ai;បញ្ហា​ទេ​, មិន​អី​ទេ​។
ไม่ ทราบ;mâi sâap;ខ្ញុំ​មិន​ដឹង​ថា (អ្វី​) ។
ไม่ รู้;mâi róo;ខ្ញុំ​មិន​ដឹង​ថា (អ្វី​) ។
ไม่ รู้จัก;mâi róo-jàk;ខ្ញុំ​មិន​ដឹង​ថា (ចំនួន​: មួយ​រឿង​កន្លែង​,​) ។
สวย ไหม;sŭay măi;វា​គឺ​ស្រស់​ស្អាត​?
ไม่ สวย;mâi sŭay;វា​មិន​មែន​ជា​ស្រស់​ស្អាត​។
อร่อย ไหม;a-ròi măi;វា​គឺ​ជា​ឆ្ងាញ់​?
ไม่ อร่อย;mâi a-ròi;វា​ជា​ការ​មិន​ឆ្ងាញ់​។
แพง ไหม;paeng măi;វា​មាន​តម្លៃ​ថ្លៃ​?
ไม่ แพง;mâi paeng;គ្មាន​, មិន​មាន​តំលៃ​ថ្លៃ​។
... ไหม ;... măi;វា​គឺ​ជា​?
ฉัน/ผม ...;chăn/pŏm ...;ខ្ញុំ​ពិត (អ្វី​) ។
(ฉัน/ผม) ชอบ ;(chăn/pŏm) chôp;ខ្ញុំ​ចូលចិត្ត​។
(ฉัน/ผม) ไม่ ชอบ;(chăn/pŏm) mâi chôp;ខ្ញុំ​មិន​ចូលចិត្ត​។
อย่า!;yàa;ធ្វើ​មិន​បាន​!
หยุด!;yùt;ឈប់​!
ตำรวจ!;dtam-rùat;ប៉ូ​លី​ស​បាន​!
ฉัน/ผม จะ บอก ตำรวจ!;chăn/pŏm jà bòk dtam-rùat;ខ្ញុំ​នឹង​ហៅ​ប៉ូ​លី​ស​។
ช่วย ด้วย;chûay dûay;ជំនួយ​!
ฉัน/ผม ไม่ สบาย;chăn/pŏm mâi sà-baai;ខ្ញុំ​ពិត​ជា​ឈឺ​។
ฉัน/ผม บาดเจ็บ;chăn/pŏm bàat jèp;ខ្ញុំ​បាន​រង​របួស​។
ฉัน/ผม หลงทาง;chăn/pŏm lŏng-taang;ខ្ញុំ​ពិត​ជា​មាន​បាត់​។
ที่ไหน;têe-năi;ដែល​ជា​កន្លែង​ដែល​?
noun + อยู่ ที่ไหน;noun + yòo têe-năi;ដែល​ជា​កន្លែង​ដែល ... ?
ห้องน้ำ อยู่ ที่ไหน;hông-náam yòo têe-năi;ដែល​ជា​កន្លែង​ដែល​បង្គន់​នេះ​?
โรงแรม อยู่ ที่ไหน;rohng-raem yòo têe-năi;ដែល​ជា​កន្លែង​ដែល​សណ្ឋាគារ​នេះ​ជា​អ្វី​?
ร้านอาหาร อยู่ ที่ไหน;ráan-aa-hăan yòo têe-năi;ដែល​ជា​កន្លែង​ដែល​ជា​ភោជនីយដ្ឋាន​នេះ​?
ตลาด อยู่ ที่ไหน;dtà-làat yòo têe-năi;ដែល​ជា​កន្លែង​ដែល​ជា​ទី​ផ្សារ​មួយ​នេះ​?
สนามบิน อยู่ ที่ไหน ;sa-năam-bin yòo têe-năi;កន្លែង​ដែល​ជា​ព្រ​លាន​យន្ត​ហោះ​នេះ​?
จะไป ... อย่างไร;jà-bpai ... yàang-rai;តើ​ខ្ញុំ​ទទួល​បាន​ទៅ​នឹង​របៀប ... ?
... ไป ยังไง;… bpai yang-ngai;តើ​ខ្ញុំ​ទទួល​បាន​ទៅ​នឹង​របៀប ... ?
... โรงแรม ไป ยังไง;… rohng-raem bpai yang-ngai ;តើ​ខ្ញុំ​ទទួល​បាន​ការ​សណ្ឋាគារ​នេះ​ដោយ​របៀប​ណា​?
ป้าย รถเมล์ ไป ยังไง;bpâai rót-may bpai yang-ngai;តើ​ខ្ញុំ​ទទួល​បាន​ទៅ​ស្ថា​នី​យ៍​រថយន្ត​ក្រុង​នេះ​បាន​យ៉ាង​ដូចម្តេច​?
ขอ ดู ... ได้ ไหม;kŏr doo ... dâai măi ;តើ​អ្នក​អាច​បង្ហាញ​ខ្ញុំ ... ? (រឿង​)
... ไป ยังไง ;... bpai yang-ngai;តើ​អ្នក​អាច​បង្ហាញ​ខ្ញុំ ... ? (ទីកន្លែង​)
ช่วย เขียน (ทาง) ให้ หน่อย  ;chûay kĭan (taang) hâi nòi ;អ្នក​អាច​សរសេរ​សម្រាប់​ខ្ញុំ​? (ទិសដៅ​)
ช่วย วาด (แผนที่) ให้ หน่อย  ;chûay wâat (păen-têe) hâi nòi ;អ្នក​អាច​គូរ​សម្រាប់​ខ្ញុំ​? (ផែនទី​)
ไกล ไหม;glai măi;វា​គឺ​នៅ​ឆ្ងាយ​?
ใกล้ ไหม;glâi măi;វា​គឺ​ជិតដល់​ហើយ​?
ตรงไป ค่ะ/ครับ;dtrong-bpai kâ/kráp;ចូរ​ទៅ​ត្រង់​។
เลี้ยว ซ้าย ค่ะ/ครับ;líeow sáai kâ/kráp;បត់​ឆ្វេង​។
เลี้ยว ขวา ค่ะ/ครับ;líeow kwăa kâ/kráp;បត់​ស្តាំ​។
กลับรถ ค่ะ/ครับ;glàp-rót;ក្រុម U​-វេន​។
ไป ...;bpai ... ;(ខ្ញុំ​) នឹង​ទៅ ...
จอด ที่นี่ ค่ะ/ครับ;jòt têe-nêe kâ/kráp;បញ្ឈប់​នៅ​ទីនេះ​សូម​។
(ดิ) ฉัน ;(dì)-chăn ;ខ្ញុំ​, ខ្ញុំ [ច​, បុរស​ចាស់​ឬ​ការ​ស្រឡាញ់​ភេទ​ដូចគ្នា​]
ผม ;pŏm ;ខ្ញុំ [M​]
คุณ;koon;អ្នក
มัน ;man;វា
เขา ;kăo ;នាង​, គាត់​, គាត់​, នាង
(พวก) เรา;(pûak) rao ;យើង​មាន​ពួក​គេ​យើង​ថា​ពួក​គេ​, យើង​ទាំង​អស់​គ្នា
ของ ฉัน;kŏng chăn;របស់​ខ្ញុំ​, អ​ណ្តូ​ង​រ៉ែ [ច​]
ของ ผม ;kŏng pŏm ;របស់​ខ្ញុំ​, អ​ណ្តូ​ង​រ៉ែ [M​]
ของ คุณ;kŏng koon;របស់​អ្នក
ของ เขา;kŏng kăo;របស់​គាត់​, នាង​, របស់​យើង​, របស់​ពួក​គេ
ของ (พวก) เขา;kŏng (pûak) kăo;, របស់​ពួក​គេ
ฉัน เอง;chăn eng ;ខ្លួន​ខ្ញុំ [ច​]
ผม เอง;pŏm eng;ខ្លួន​ខ្ញុំ [M​]
คุณ เอง;koon eng  ;ខ្លួន​អ្នក​ផ្ទ​​ាល់
เขา เอง;kăo eng ;ខ្លួន​ទ្រង់​ផ្ទាល់​ខ្លួន​របស់​នាង
(พวก) เรา เอง;(pûak) rao eng ;ការ​ភ្ញាក់​ដឹងខ្លួន
(พวก) เขา เอง;(pûak) kăo eng ;ប្រយោជន៍​ខ្លួន
ตัว เอง;dtua eng;ខ្លួន​ខ្ញុំ​ផ្ទាល់ yoursf​, himsf hersf​, ខ្លួនឯង
เดียว;dieow;មួយ (តែ​មួយ​គត់​)
ไม่มี ใคร;mâi-mee krai ;គ្មាន​នរណា​ម្នាក់
ใครก็ตาม;krai-gôr-dtaam;នរណា​ម្នាក់
ใครคนหนึ่ง;krai-kon-nèung;មាន​មនុស្ស​ម្នាក់​បាន
ทุกคน;tóok-kon ;មនុស្ស​គ្រប់​គ្នា
ทุกสิ่ง ;tóok-sìng ;អ្វី​គ្រប់​យ៉ាង [អរូបី​កំណាព្យ​]
ทุกอย่าง;tóok-yàang;អ្វី​គ្រប់​យ៉ាង [ធម្មតា​, បាន​និយាយ​]
สิ่งใดๆ;sìng-dai-dai;អ្វី​នោះ​ទេ [ផ្លូវការ​, កំណាព្យ​]
อะไร;a-rai;អ្វី​ទាំងអស់
บางสิ่ง;baang-sìng ;អ្វី​មួយ [អរូបី​កំណាព្យ​]
บาง อย่าง;baang yàang;អ្វី​មួយ
ไม่ มี อะไร;mâi mee a-rai ;គ្មាន​អ្វី
เหล่า นี้;lào née ;ទាំង​នេះ [ផ្លូវការ​]
พวก นี้;pûak née;ទាំង​នេះ
เหล่า นั้น;lào nóhn ;អ្នក​ទាំង​នោះ [ផ្លូវការ​]
พวก นั้น;pûak nán;អ្នក​ទាំង​នោះ
นี่, นี้;nêe, née ;នេះ
นั่น, นั้น;nân, nán;នោះ​ហើយ
ไม่ มี ใคร;mâi mee krai ;គ្មាន​នរណា​ម្នាក់
ใครก็ตาม, ใครก็ได้;krai-gôr-dtaam, krai-gôr-dâai;នរណា​ម្នាក់
ใคร;krai;នរណា​?
อะไร;a-rai;អ្វី​ដែល​?
อันไหน, ตรงที่;an-năi, dtrong-têe ;មួយ​ណា​?
จะ;ja;ឆន្ទៈ
มา;maa ;សូម​អញ្ជើញ​មក
ไป;bpai ;ចូរ​ទៅ
กิน;gin ;បរិភោគ​, ផឹក
ดื่ม;dèum ;ផឹក [ផ្លូវការ​]
ทำงาน;tam-ngaan ;ការងារ
ซื้อ;séu ;វត្ថុ​ដែល​បាន​ទិញ + +
ขาย;kăai ;ការ​លក់​វត្ថុ + +
(นอน) หลับ;(non) làp;ការ​គេង
เล่น;lên ;លេង
ให้;hâi ;សូម​ឱ្យ​វត្ថុ + +
เอา;ao ;យក​វត្ថុ + +
คิด;kít ;ចូរ​គិត
เชื่อ;chêua;ជឿ​ថា​វត្ថុ + +
รู้;róo ;ដឹង​អំពី [ធម្មតា​]
ทราบ;sâap;ដឹង​អំពី [នយោបាយ​]
รู้จัก;róo-jàk;ដឹង​នៃ
อ่าน;àan ;អាន
เขียน;kĭan ;ការ​សរសេរ
เห็น ;hĕn;សូម​មើល (អ​កម្ម​)
ดู;doo;មើល​, រក​មើល + + វត្ថុ​ដែល​បាន​បង្ហាញ​,
เฝ้า;fâo;មើល​ជាង (ឧ​ទា​ជា​មនុស្ស​ឈឺ​)
ดู, มอง;doo, mong;ចូរ​ក្រឡេក​មើល​វត្ថុ + +
ได้ยิน;dâi-yin ;ចូរ​ស្ដាប់
ฟัง;fang ;ចូរ​ស្ដាប់
ดม;dom ;ក្លិន
ชิม;chim;រសជាតិ
แตะ ;dtàe ;ប៉ះ (ស្រាល​)
สัมผัส;săm-pàt ;ប៉ះ
ทำ;tam ;ធ្វើ​ឱ្យ
ทำ;tam;តើ
มี;mee ;មាន (ជា​អ្នក​គ្រប់​គ្រង​)
กิน;gin;មាន (បរិភោគ​)
ต้องการ;dtông-gaan ;ត្រូវ​ការ​ចង់​នាម + [ផ្លូវការ​]
อยากได้;yàak-dâai;ត្រូវ​ការ​ចង់​នាម + [នយោបាយ​]
อยาก;yàak;ចង់ + + កិរិយា​ស័ព្ទ
เอา;ao;ចង់​នាម + [ធម្មតា​]
ราคา;raa-kaa ;ការ​ចំណាយ
หัก ;hàk;បំបែក​វត្ថុ + +
แตก;dtàek;សម្រាក
เรียนรู้;rian-róo;រៀន
เรียน ;rian;សិក្សា
ศึกษา;sèuk-săa ;ការ​សិក្សា [ផ្លូវការ​]
สอน;sŏn ;ចូរ​បង្រៀន
ถาม;tăam ;សូម​សួរ
ตอบ;dtòp ;ចម្លើយ
ซ่อม;sôm ;ជួសជុល​ការ​ជួសជុល (វត្ថុ​មួយ​) + វត្ថុ
แก้;gâe ;ជួសជុល (បញ្ហា​មួយ​) + + វត្ថុ
ล้าง ;láang ;(ចាន​, ដៃ​ឧ​ទា​) + វត្ថុ​ដែល​បាន​លាង​ស​មា​ត
ซัก;sák;លាង​ស​មា​ត (លាង​) + វត្ថុ
ล้าง;láang   ;វត្ថុ​ដែល​ស្អាត (ជាមួយ​ទឹក​) + +
ทำ ความ สะอาด;tam kwaam sa-àat;លាង​ស​មា​ត (ទូទៅ​)
วาง;waang   ;(កន្លែង​) + + វត្ថុ​បាន​ដាក់
เลือก;lêuak   ;ជ្រើស​វត្ថុ + +
เกิด ขึ้น;gèrt kêun ;បាន​កើត​ឡើង
มี ชีวิต/อยู่;mee chee-wít, yòo;ការ​ផ្សាយ​បន្ត​ផ្ទាល់
ตาย;dtaai   ;Die
หา;hăa;សែ​្វ​ង​រក (សូម​មើល​)
เจอ;jer ;រក​ឃើញ​វត្ថុ + + (រក​ឃើញ​)
พบ;póp ;សែ​្វ​ង​រក (រក​ឃើញ​) [ផ្លូវការ​]
หาย, ทำ … หาย;hăai, tam … hăai;ចាញ់
พัก ผ่อน;pák pòn;នៅ​សល់
ขับ (รถ);kàp (rót);ដ្រាយ [រថ​យ​ន្ដ​]
บิน;bin ;ការ​ហោះ​ហើរ
แล่น (เรือ);lên (reua);ក្ដោង
เดิน;dern;ដើរ
วิ่ง;wîng ;រត់
ขี่ (ม้า);kèe (máa);ជិះ (សេះ​) + វត្ថុ
ขี่ (จักรยาน);kèe (jàk-ra-yaan);ជិះ (ជិះ​កង់​) + វត្ថុ
หยุด;yòot ;វត្ថុ​ដែល​បាន​បញ្ឈប់ + +
พัก ;pák ;ការ​ស្នាក់​នៅ (ឧ​ទា​នៅ​ក្នុង​សណ្ឋាគារ​មួយ​)
อยู่;yòo ;ការ​ស្នាក់​នៅ (នៅ​ទីតាំង​ណា​មួយ​ទេ​) + + វត្ថុ
รีบ;rêep ;ប្រញាប់
เข้า ใจ;kâo jai ;យល់​ដឹង​អំពី
ได้;dâai ;អាច (មាន​លទ្ធភាព​អគ្គ​) + វត្ថុ
สามารถ;săa-mâat;អាច [ផ្លូវការ​ពាក្យទ្រគោះ​ភេទ​ទីបី​] + វត្ថុ
ไหว;wăi;អាច​ធ្វើ​បាន (ដែល​មាន​សមត្ថភាព​ខាង​រាងកាយ​) + វត្ថុ
กังวล;gang-won ;ព្រួយ​បារម្ភ
กลัว;glua ;ការ​ភ័យ​ខ្លាច
ตก;dtòk ;ធ្លាក់​ចុះ
ล้ม;lóm;ការ​ធ្លាក់​ចុះ (ជាង​)
ลุก (ขึ้น);lóok (kêun);ចូរ​ក្រោក​ឡើង (ពី​ដី​)
ได้รับ;dâi-ráp ;ទទួល​បាន (ទទួល​បាន​) វត្ថុ + +
ไหม้;mâi;ដុត
ตี;dtee ;បុក​វត្ថុ + +
แอบ;àep ;លាក់ (ជា​ធម្មតា​ខ្លួនឯង​)
ซ่อน;sôn ;លាក់ (ជា​ធម្មតា​អ្វី​មួយ​) + + វត្ថុ
หา;hăa;+ + វត្ថុ​ដែល​បាន​រក​ឃើញ (សូម​មើល​)
พบ;póp;សែ​្វ​ង​រក (កំណត់​ទីតាំង​ឬ​បាន​មក​នៅ​ទូទាំង​) [ផ្លូវការ​]
เจอ;jer;សែ​្វ​ង​រក (កំណត់​ទីតាំង​ឬ​បាន​មក​នៅ​ទូទាំង​)
เข้า;kâo ;បញ្ចូល
ออก;òk ;ការ​ចាក​ចេញ (ចេញ​ទៅ​ក្រៅ​)
ส่ง;sòng ;ផ្ញើ​វត្ថុ + +
ได้รับ;dâi-ráp ;ទទួល​បាន​វត្ថុ + +
ชนะ;cha-ná ;ការ​ទទួល​ជ័យ​ជម្នះ
มีราคา;mee-raa-kaa ;ការ​ចំណាយ
ลอง;long ;សូម​សាកល្បង (ដើម្បី​យក​សំណាក​, សូម​ព្យាយាម​ចេញ​) + + វត្ថុ
พยายาม;pá-yaa-yaam;សូម​សាកល្បង (ដើម្បី​ធ្វើ​ឱ្យ​ការ​ខិតខំ​ប្រឹងប្រែង​មួយ​)
ร่วม;rûam ;សូម​ចូលរួម
รวม;ruam ;ប្រមូល​ផ្តុំ
ตัดสิน-ใจ;dtàt-sĭn-jai;ការ​សម្រេច​ចិត្ត
อยาก;yàak;បំណង​ប្រាថ្នា + + វត្ថុ
ยืม;yeum;ខ្ចី​វត្ថុ + +
ให้ยืม;hâi-yeum ;ផ្តល់​ប្រាក់​កម្ចី​វត្ថុ + +
เป็นหนี้;bpen-nêe ;ជំពាក់
สัญญา;săn-yaa ;ការ​សន្យា
เช่า;châo ;វត្ថុ + + ជួល
ใช้;chái ;ប្រើ​វត្ថុ + +
หัวเราะ;hŭa-rór ;សំណើច
ร้อง ไห้;róng-hâi ;យំ
ฝัน;făn;សុ​បិ​ន្ត
ชอบ;chôp;ដូច​​​ជា
รัก;rák;សេចក្ដី​ស្រឡាញ់
บอก;bòk;ចូរ​ប្រាប់
อีกที;èek-tee;ធ្វើ​ម្ដង​ទៀត
ยินดี ;yin-dee;សប្បាយ​រីក​រាយ​, រីករាយ
พูด ;pôot;ចូរ​និយាយ
เข้าใจ ;kâo-jai;យល់​ដឹង​អំពី
มี ;mee ;តើ​មាន
เหนื่อย ;nèuay ;ធុញ​ទ្រាន់
หยุด;yùt;បញ្ឈប់
จอด ;jòt;ឧទ្យាន​, Moore​, បញ្ឈប់
เลี้ยว ;líeow;វេន
คน;kon ;បុគ្គល
สถานที่;sa-tăan-têe ;ទីកន្លែង [ផ្លូវការ​]
ที่;têe;ទីកន្លែង
สิ่งของ;sìng-kŏng;រឿង [ផ្លូវការ​]
ของ;kŏng;វត្ថុ
ผู้ชาย;pôo-chaai ;បុរស​ម្នាក់
ชาย  ;chaai ;ប្រុស
ผู้หญิง;pôo-yĭng ;ស្ត្រី​ម្នាក់
หญิง;yĭng;ស្រី
เด็ก;dèk ;កុមារ
พ่อแม่;pôr-mâe;ឪពុក​ម្តាយ
โรง แรม;rohng raem ;សណ្ឋាគារ
บ้าน;bâan ;វិមាន
ร้านอาหาร;ráan-aa-hăan ;ភោជនីយដ្ឋាន
สนามบิน;sa-năam-bin ;ព្រ​លាន​យន្ត​ហោះ
รถเมล์;rót-may;ស្ថា​នី​យ៍​រថយន្តក្រុង
ท่า รถเมล์;tâa rót-may;ស្ថា​នី​យ៍​រថយន្តក្រុង (ក្នុង​ខេត្ត​)
ป้า ยรถเมล์;bpâai rót-may;ចំណត​ឡានក្រុង
ท่า รถทัวร์;tâa rót-tua;ស្ថា​នី​យ៍​រថយន្តក្រុង (រវាង​ខេត្ត​)
สถานี รถไฟ;sa-tăa-nee rót-fai ;ស្ថា​នី​យ៍​រថភ្លើង
เครื่องบิน;krêuang-bin;យ​ន្ដ​ហោះ
รถไฟ;rót-fai ;រថភ្លើង
รถเมล์;rót-may ;រថយន្តក្រុង (ក្នុង​ខេត្ត​)
รถทัวร์;rót-tua;រថយន្តក្រុង (រវាង​ខេត្ត​)
รถยนต์;rót-yon ;រថយន្ត [ផ្លូវការ​]
รถ ;rót;រថយន្ត
(รถ) จักรยาน;(rót) jàk-ra-yaan ;កង់
